title,url,year,citations
{O}kapi+{Q}u{E}st: Translation Quality Estimation within Okapi,https://aclanthology.org/W15-4940,2015,1
{CRACKER}: Cracking the Language Barrier,https://aclanthology.org/W15-4941,2015,3
{LTC} {K}now{H}ow: Empowering the Social Enterprise in the Language Industry,https://aclanthology.org/W15-4942,2015,0
Multi-Dialect Machine Translation ({M}u{DM}at),https://aclanthology.org/W15-4943,2015,1
{A}bu-{M}a{T}ran: Automatic building of Machine Translation,https://aclanthology.org/W15-4944,2015,1
{MNH}-{TT}: A Platform to Support Collaborative Translator Training,https://aclanthology.org/W15-4945,2015,1
Smart Computer Aided Translation Environment - {SCATE},https://aclanthology.org/W15-4946,2015,0
nan,https://aclanthology.org/W15-4800,2015,0
Extended Tree Transducers in Natural Language Processing,https://aclanthology.org/W15-4801,2015,0
Preserving Trees in Minimal Automata,https://aclanthology.org/W15-4802,2015,0
nan,https://aclanthology.org/W15-4803,2015,6
Count-based State Merging for Probabilistic Regular Tree Grammars,https://aclanthology.org/W15-4804,2015,0
A Direct Link between Tree-Adjoining and Context-Free Tree Grammars,https://aclanthology.org/W15-4805,2015,6
Automated Lossless Hyper-Minimization for Morphological Analyzers,https://aclanthology.org/W15-4806,2015,0
Grammar Design with Multi-tape Automata and Composition,https://aclanthology.org/W15-4807,2015,4
Temporal Forces and Type Coercion in Strings,https://aclanthology.org/W15-4808,2015,0
Accounting for Allomorphy in Finite-state Transducers,https://aclanthology.org/W15-4809,2015,0
A Probabilistic Model of {A}ncient {E}gyptian Writing,https://aclanthology.org/W15-4810,2015,5
A Hybrid Approach to Grapheme-Phoneme Conversion,https://aclanthology.org/W15-4811,2015,1
Three Equivalent Codes for Autosegmental Representations,https://aclanthology.org/W15-4812,2015,4
Proceedings of the 14th International Conference on Parsing Technologies,https://aclanthology.org/W15-2200,2015,0
Domain Adaptation for Dependency Parsing via Self-Training,https://aclanthology.org/W15-2201,2015,17
Combining Active Learning and Partial Annotation for Domain Adaptation of a {J}apanese Dependency Parser,https://aclanthology.org/W15-2202,2015,6
Incorporating Complementary Annotation to a {CCG}bank for Improving Derivations for {J}apanese,https://aclanthology.org/W15-2203,2015,0
Dependency Parsing with Graph Rewriting,https://aclanthology.org/W15-2204,2015,9
Semantic Parsing for Textual Entailment,https://aclanthology.org/W15-2205,2015,10
A Framework for Procedural Text Understanding,https://aclanthology.org/W15-2206,2015,27
Suitability of {P}ar{T}es Test Suite for Parsing Evaluation,https://aclanthology.org/W15-2207,2015,2
Coordination-Aware Dependency Parsing (Preliminary Report),https://aclanthology.org/W15-2208,2015,6
{MSTP}arser Model Interpolation for Multi-Source Delexicalized Transfer,https://aclanthology.org/W15-2209,2015,7
Non-Deterministic Oracles for Unrestricted Non-Projective Transition-Based Dependency Parsing,https://aclanthology.org/W15-2210,2015,24
Enhancing the Inside-Outside Recursive Neural Network Reranker for Dependency Parsing,https://aclanthology.org/W15-2211,2015,2
Maximising Spanning Subtree Scores for Parsing Tree Approximations of Semantic Dependency Digraphs,https://aclanthology.org/W15-2212,2015,1
{CKY} Parsing with Independence Constraints,https://aclanthology.org/W15-2213,2015,0
Dependency Parsing with Compression Rules,https://aclanthology.org/W15-2214,2015,19
Stacking or Supertagging for Dependency Parsing {--} What{'}s the Difference?,https://aclanthology.org/W15-2215,2015,6
Proceedings of the Third International Conference on Dependency Linguistics (Depling 2015),https://aclanthology.org/W15-2100,2015,0
Invited Talk: The Case for {U}niversal {D}ependencies,https://aclanthology.org/W15-2101,2015,0
Invited Talk: Lexicon Embedded Syntax,https://aclanthology.org/W15-2102,2015,0
Converting an {E}nglish-{S}wedish Parallel Treebank to {U}niversal {D}ependencies,https://aclanthology.org/W15-2103,2015,12
Targeted Paraphrasing on Deep Syntactic Layer for {MT} Evaluation,https://aclanthology.org/W15-2104,2015,0
Universal and Language-specific Dependency Relations for Analysing {R}omanian,https://aclanthology.org/W15-2105,2015,2
Emotion and Inner State Adverbials in {R}ussian,https://aclanthology.org/W15-2106,2015,0
Towards a multi-layered dependency annotation of {F}innish,https://aclanthology.org/W15-2107,2015,1
A {B}ayesian Model for Generative Transition-based Dependency Parsing,https://aclanthology.org/W15-2108,2015,8
On the relation between verb full valency and synonymy,https://aclanthology.org/W15-2109,2015,2
Classifying Syntactic Categories in the {C}hinese Dependency Network,https://aclanthology.org/W15-2110,2015,1
Using Parallel Texts and Lexicons for Verbal Word Sense Disambiguation,https://aclanthology.org/W15-2111,2015,10
Quantifying Word Order Freedom in Dependency Corpora,https://aclanthology.org/W15-2112,2015,37
Non-constituent coordination and other coordinative constructions as Dependency Graphs,https://aclanthology.org/W15-2113,2015,13
The Dependency Status of Function Words: Auxiliaries,https://aclanthology.org/W15-2114,2015,6
Diachronic Trends in Word Order Freedom and Dependency Length in Dependency-Annotated Corpora of {L}atin and {A}ncient {G}reek,https://aclanthology.org/W15-2115,2015,20
Reconstructions of Deletions in a Dependency-based Description of {C}zech: Selected Issues,https://aclanthology.org/W15-2116,2015,5
Non-projectivity and processing constraints: Insights from {H}indi,https://aclanthology.org/W15-2117,2015,4
From mutual dependency to multiple dimensions: remarks on the {DG} analysis of {``}functional heads{''} in {H}ungarian,https://aclanthology.org/W15-2118,2015,1
Mean Hierarchical Distance Augmenting Mean Dependency Distance,https://aclanthology.org/W15-2119,2015,8
Towards Cross-language Application of Dependency Grammar,https://aclanthology.org/W15-2120,2015,0
Dependency-based analyses for function words {--} Introducing the polygraphic approach,https://aclanthology.org/W15-2121,2015,6
At the Lexicon-Grammar Interface: The Case of Complex Predicates in the Functional Generative Description,https://aclanthology.org/W15-2122,2015,7
Enhancing {F}ree{L}ing Rule-Based Dependency Grammars with Subcategorization Frames,https://aclanthology.org/W15-2123,2015,0
Towards Universal Web Parsebanks,https://aclanthology.org/W15-2124,2015,9
